ANTIPUBLIC," 14,997 "
Cit0day, 361 
Collection_1-5_&_Zabugor," 14,988 "
ComboList_Dumps," 2,513 "
CompilationOfManyBreaches, 526 
Exploit.in," 8,109 "
XSS.IS," 28,954 "
10K_Databases_Dump," 3,964 "
2K_Database_Dump, 257 
451_Database_Dump, 106 
4K_Database_Dump," 1,065 "
7K_Databases_Dump," 4,482 "
000WebHost, 61 
123RF, 101 
2Games, 6 
500px, 2 
8Fit, 93 
8Tracks," 1,209 "
Abandonia, 9 
Adobe," 8,154 "
AlbumWash, 31 
AllGoods, 164 
Amimoto, 289 
AnywhereXXX, 11 
ArmorGames, 86 
ArmyNavyDeals, 17 
Avast, 3 
AxparisDev, 4 
BabyNamesCom, 38 
BabyNamesNet, 28 
Badoo, 51 
BattleRoyaleForums, 1 
BiStudio, 3 
Bitly, 105 
BitcoinLixter, 1 
BlankMediaGames, 64 
BleachAnime, 2 
BoardFreeOnes, 15 
BoltCD, 4 
BondageStory, 1 
Brazzers, 104 
ButterflyLabs, 2 
CafePress, 848 
Cannabis, 18 
Canva, 390 
CapitalGames, 3 
Cashcrate, 257 
Cexio, 2 
Chatbooks, 62 
CheapAssGamer, 27 
CheatGamer, 27 
CheatMaster, 6 
CheatPortal, 4 
Chegg," 22,065 "
ChronofHorse, 5 
ClashofClansBuilder, 2 
Clixsense, 23 
Coachell, 40 
Coachella, 8 
CoinGecko, 2 
CoinMama, 6 
CoinPayexLTD, 3 
CommunityHitlab, 2 
CoreVin, 15 
CosForums, 5 
CouponMom, 530 
CrackingForum, 1 
CreoCommunity, 13 
CrimeAgencyvBulletion, 20 
CryptoExchanger, 28 
DaFont, 13 
DailyQuiz, 6 
DaniWeb, 35 
DashHacks, 1 
DatPiff," 1,047 "
DaveDehashed, 8 
DayZ, 6 
Ddo, 20 
DDOComUs, 20 
DeSura, 10 
DiabloGolf, 26 
DiscordApp, 1 
Disqus, 195 
DiveComputerTraining, 14 
DogeWallet, 1 
DoomForum, 20 
DoomWorld, 1 
Dressup, 4 
DropBox, 614 
Dubsmash, 302 
DuelingNetwork, 34 
EdaBoard, 8 
Edmodo, 246 
Elance, 37 
ElanceUpwork, 38 
EliteFitness, 46 
EmuParadise, 7 
EpicGames, 1 
EpicNPC, 18 
Eroticy, 13 
EstanteVirtual, 1 
Evony, 339 
EyeEm, 22 
FacePunch, 2 
FamilyRelatives, 1 
FantaseGame, 13 
FashionFantasyGame, 13 
FaucetHub, 1 
FFShrine, 16 
FFToday, 27 
FFXIAccounts, 10 
FlashFlashRevolution, 24 
FootballGuys, 48 
Forbes, 11 
ForumsXkCD, 1 
FreshFiction, 1 
FunimationDehashed, 34 
